synapse_name,spine_surf,spine_vol,bouton_surf,bouton_vol,pap_surf,pap_vol,spine_svr,bouton_svr,pap_svr,min_pmpsd,er_pres,er_surf,er_vol,er_svr,min_erpsd,erpap_svr,erpmc_pmsurf,erpmc_ersurf,min_erpm_dist,mean_erpmd
d1s3a107b1,1.21156388253439,0.085505062868688,2.48949158614186,0.16277711127038,0.451905979179669,1.14919404456479,14.1694987628396,15.2938675880954,0.393237313852257,152.24,ER,0.318017735946736,0.005516122309462,57.6524083596263,326.54,0.276731103377039,0.461807988961605,0.318017732594893,1.83,634.95
d1s6a46b1,0.809300240314769,0.037352749533454,3.2239335363169,0.196226438627716,5.3097852647212,9.10606985789563,21.6664168079499,16.4296593204415,0.583103945783727,61.33,ER,1.42748165288446,0.016770080988166,85.1207369774663,112.2,0.156761553025725,5.3097853109609,1.4274815231675,3.15,242.38
d1s7a14b2,0.735908275513793,0.049896099174853,2.50356034352961,0.254468214762231,8.5846664178116,14.0472737409868,14.7488137887277,9.83840101943135,0.611126868892963,10.07,ER,0.769896173467356,0.00782273058517,98.4178305880615,327.89,0.054807515512492,8.58466657169055,0.769896135704644,5.19,433.75
d1s8a22b1,1.01379532324426,0.074977325490527,1.30905310646267,0.093999981300201,1.2743835702836,3.3069671580147,13.5213588456465,13.9260996476376,0.38536323748938,29.06,ER,0.031441616871014,0.000291271788187,107.945973987711,889.23,0.009507689483644,1.27665499107156,0.03144162503287,13.11,1078.91
d1s9a60b1,0.541610768450482,0.027382503988073,1.51693933674141,0.078739001212034,2.82803970743749,5.33852226287491,19.7794463459728,19.2654124816301,0.529742046240813,22.79,ER,0.16334661917158,0.001570113156655,104.034934348058,398.46,0.030597721827916,2.83404970911389,0.163346627937508,13.37,691.98
d1s10a24b1,0.667272529310139,0.039752008813164,3.57877569959632,0.230373661896192,4.22918673036678,7.03327033812439,16.7858820027525,15.534656479997,0.601311555940363,49.48,ER,0.355655594864243,0.003125656884741,113.785872211535,552.34,0.050567599106263,4.24504467990659,0.355655572025571,31.27,516.75
d1s11a52b1,0.700721050594438,0.037628807902742,2.7410260318727,0.184419533107347,2.28660265467513,7.17632403888961,18.6219306337199,14.8629919276349,0.318631466790473,55.02,ER,0.807630868038698,0.007388069671876,109.315545725436,422.5,0.112541025692544,2.28715907169818,0.80763084661062,1.16,391.71
d1s12a62b1,0.798828647719346,0.046201890842093,3.09594653956341,0.202765631451225,2.06776883860193,4.0058097760445,17.2899557390312,15.2685961491858,0.51619246899031,22.81,noER,,,,,,,,,
d1s15a32b1,1.92626465353896,0.194927018982821,2.91663969642155,0.301461831080387,0.801724239677035,1.65321243961241,9.88197871998813,9.67498832594766,0.484949314720253,58.75,ER,0.904107359255793,0.009212215953033,98.1422237456446,227.31,0.546879117040613,0.815592465982718,0.904107344645979,2.51,347.05
d2s4a6b1,0.698948065080912,0.041942314645888,2.10877884606246,0.14579849817428,4.60081835985998,6.8262921360397,16.6645086467451,14.4636527294111,0.673984978692864,36.32,ER,0.041838775251568,0.000385053749308,108.656974063506,912.72,0.006129063101574,4.60081853660123,0.041838772025752,41.85,1258.22
d2s5a41b1,0.802621322814957,0.044794142385438,3.19099255296467,0.333731564416932,0.444641602953879,1.06052791124102,17.917997311092,9.56155453422485,0.419264404303668,136.42,ER,0.747087824877794,0.0069304175033,107.798386536169,521.99,0.704448998427169,0.448706711124331,0.747087833787551,1.67,624.32
d2s6a9b1,1.74217728206349,0.150608987081981,4.1987080012049,0.482209390221127,5.28668688641472,7.49323415411698,11.5675519490425,8.70722985979078,0.705528050729614,140.37,ER,0.277518332816965,0.002676681692395,103.679990641186,348.02,0.037035854893776,5.29705015579912,0.277518363695645,31.27,505.63
d2s7a54b1,1.15774041858401,0.054258700935531,4.74599381828106,0.405472880459429,6.53971558583336,10.6247705079947,21.3374149882358,11.7048366167018,0.615515938053673,182.16,ER,0.907257269965725,0.008303434689895,109.262889858077,288.62,0.085390763902435,6.53971559888851,0.907257228087374,9.34,226.78
d2s8a79b1,1.8585977959633,0.169991848243254,3.44281401384427,0.313514678196503,2.02763194323814,4.59845484910636,10.9334524871081,10.981348731897,0.440937664883712,19.77,noER,,,,,,,,,
d2s9a40b1,1.87094577293821,0.12565865531934,3.03479851436428,0.261725480920307,1.52143212623862,3.66225324262048,14.8891118417869,11.5953498440159,0.415436078677612,97.61,noER,,,,,,,,,
d3s2a64b1,1.30208579977261,0.091442183434302,3.54921890455442,0.26669818076927,4.24067557291082,6.70779024448231,14.2394434479806,13.3079981810036,0.632201577322593,121.19,ER,0.565350380306791,0.005620188531237,100.592778545527,520.89,0.084282656389239,4.25140998008711,0.565350354862795,18.9,456.01
d3s3a5b1,0.99048573172331,0.069403198406099,2.63687734878453,0.182580039852664,0.506845924728608,1.47617008570772,14.2714709764192,14.442308978092,0.34335198202151,89.91,noER,,,,,,,,,
d3s5a40b1,1.50886657841874,0.128618930746574,3.21438476493415,0.300766696286115,0.800079152661709,1.80191520149193,11.7312946831424,10.6873028318147,0.444015984769576,43.39,ER,0.008314612712202,5.43E-05,153.257361046872,793.99,0.00461431964463,0.80105920156339,0.008314612585848,46.68,1021.67
d3s6a54b1,0.782481070840731,0.049562173429375,4.58676094921079,0.38409418386848,7.6495615221562,0.800079152661709,15.7878683822402,11.9417610103187,9.56100592886039,86.36,ER,1.12359791882822,0.009393076587371,119.619797451556,196.4,1.40435845014862,7.64956188678798,1.12359791124915,9.34,205.23
d4s2a70b1,2.22849085576854,0.214273323481474,2.79792227610212,0.27564325400711,10.8281690450216,18.0739169017792,10.4002253736509,10.1505196859632,0.599104726654778,5.18,ER,0.442681281603216,0.004148410897007,106.711049747402,71.69,0.024492824881785,10.8281691140121,0.442681241009857,15.43,422.73
d4s4a40b1,1.28753523901832,0.102751556864803,2.91025914590417,0.286896041267527,1.93115920628843,5.7399505227966,12.5305667213628,10.1439501676163,0.336441786147581,25.59,noER,,,,,,,,,
d9s1a89b1,0.595990389847429,0.038076676348761,1.18961603006027,0.074843047397764,2.26364573580048,5.55154851580272,15.6523742878316,15.8948101583556,0.407750329364305,63.05,noER,,,,,,,,,
d9s2a53b1,0.96982027888589,0.056478982746384,1.97457659758168,0.114672559440702,1.72535285453187,4.11484400351133,17.171348202938,17.2192598404743,0.419299699589965,22.26,ER,0.110083084861935,0.000975435704867,112.855295651604,885.22,0.026752675136165,1.72587793724557,0.110083077819952,36.46,997.25
d9s3a51b1,0.837240336604736,0.045938781951163,3.6617656864596,0.411895312120645,0.565781319760503,1.9255945874853,18.2251313823428,8.89003972297471,0.293821619274167,76.15,ER,1.72468995612251,0.016085388486233,107.220907819457,335.21,0.895666184009606,0.590894131214895,1.72468993876335,1.59,280.7
d10s1a2b1,2.42370020795715,0.202886959781539,3.2974558606254,0.272542085768155,2.56208167321038,7.00430954601118,11.9460620365493,12.0988868612038,0.365786471368821,89.5,noER,,,,,,,,,
d10s2a55b1,1.70854785330084,0.143942762274133,3.55427920677404,0.29138281005843,0.971220133251847,1.85875225623254,11.8696336398421,12.1979714797222,0.522511878597737,60.84,ER,0.147910231363421,0.001126263272726,131.328291479734,382.49,0.021117032362976,2.56245636681811,0.147910251071193,28.96,824.3
d10s6a71b1,0.491656339087057,0.028224046257291,1.46059796660483,0.100614650962533,10.826121162247,16.5230381819305,17.4197680447765,14.5167523082571,0.655213710883171,6.28,ER,1.32070314989517,0.005672775970265,232.814261803747,117.3,0.079931011194992,10.8261211962175,0.669032192576785,1.19,300.55
